name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Virgil van Dijk,DEF,Liverpool,4.0,0,0,0,0,0,0.0,0,373,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2025-10-04T16:30:00Z,0,False,7,0,0,0,0,0,7,0,3461419,0,0,,,0.0,0,-136261,82612,218873,61,False,0
Max Dowman,MID,Arsenal,0.5,0,0,0,0,0,0.0,0,700,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,19,0,0,0,0,0,7,0,44480,0,0,,,0.0,0,-3747,2112,5859,45,True,0
Brenden Aaronson,MID,Leeds,2.3,0,0,0,0,0,0.0,0,350,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,18,0,0,0,0,0,7,0,7201,0,0,,,0.0,0,630,1269,639,54,True,0
Tom Cairney,MID,Fulham,1.0,0,0,11,0,0,17.4,2,331,0.07,0.28,0.21,1.07,63,3,0,3.2,1.2,2025-10-03T19:00:00Z,76,False,4,0,0,0,2,0,7,0,3642,0,0,1,3,13.0,2,-88,79,167,49,False,0
Matai Akinmboni,DEF,Bournemouth,0.0,0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,10,0,0,0,0,0,7,0,32757,0,0,1,3,0.0,0,-1119,630,1749,40,True,0
Joelinton Cássio Apolinário de Lira,MID,Newcastle,2.0,0,0,0,0,0,0.0,0,490,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,16,0,0,0,0,0,7,0,36721,0,0,,,0.0,0,2065,4212,2147,59,True,0
Harrison Reed,MID,Fulham,0.0,0,0,0,0,0,0.0,0,336,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,4,0,0,0,0,0,7,0,32875,0,0,1,3,0.0,0,-527,2070,2597,44,False,0
Dango Ouattara,MID,Brentford,0.5,0,0,0,0,0,0.0,0,83,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,61811,0,0,,,0.0,0,-13438,1934,15372,60,True,0
Bukayo Saka,MID,Arsenal,1.3,0,0,0,0,0,0.0,0,16,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,19,0,0,0,0,0,7,0,1011817,0,0,,,0.0,0,372696,404709,32013,98,True,0
Pau Torres,DEF,Aston Villa,0.7,0,0,0,0,0,0.0,0,41,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,3,0,0,0,0,0,7,0,41476,0,0,,,0.0,0,-743,1570,2313,44,True,0
Kristoffer Ajer,DEF,Brentford,0.7,0,0,0,0,0,0.0,0,108,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2025-10-05T15:30:00Z,0,False,13,0,0,0,0,0,7,0,18586,0,0,,,0.0,0,-730,609,1339,44,True,0
