id,xP
1,3.0
2,0.5
3,0.0
4,0.5
5,4.9
6,1.3
7,2.5
8,3.3
9,0.0
10,1.0
11,0.5
13,0.5
14,0.0
15,0.5
16,1.3
17,1.7
18,0.0
19,2.7
20,2.5
21,3.7
22,3.0
23,0.0
24,0.5
25,1.5
26,5.5
28,0.0
29,0.0
30,0.0
31,0.0
266,3.5
662,2.7
666,3.0
700,0.5
711,0.5
725,0.0
32,2.6
33,0.5
34,0.0
35,0.0
36,4.7
37,3.3
38,3.0
39,0.5
40,1.0
41,0.7
42,0.5
43,0.0
44,3.5
45,0.5
46,0.0
47,3.0
48,0.0
49,0.0
50,4.3
51,0.0
53,1.3
54,3.3
55,0.0
56,0.0
57,0.0
58,2.3
59,0.0
60,0.5
61,0.0
62,0.5
63,0.5
64,3.5
65,0.0
389,1.3
456,0.5
677,2.0
688,0.5
701,0.0
702,0.5
703,0.5
710,0.5
719,1.0
183,-0.5
184,0.0
185,-0.5
186,0.0
187,0.3
188,-0.5
189,0.0
190,1.0
191,1.0
192,1.7
193,-0.5
194,0.0
195,-0.5
196,0.0
197,-0.5
198,-0.5
199,-0.3
200,4.3
201,0.0
202,-0.3
203,-0.5
204,0.0
205,2.3
206,-0.5
207,0.3
208,0.0
209,1.0
210,1.3
211,0.0
212,0.0
213,-0.5
214,-0.5
215,-0.3
216,0.0
217,2.0
218,-0.5
219,0.0
470,1.5
676,-0.5
680,0.0
722,1.5
66,0.0
67,3.5
68,0.0
69,0.0
70,0.0
71,0.0
72,5.2
73,0.0
74,4.8
75,0.0
76,0.0
77,2.2
78,0.0
79,0.0
80,0.2
81,2.8
82,10.8
84,2.2
85,2.0
86,1.8
87,1.5
88,0.2
89,0.0
90,4.2
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,2.8
98,0.0
99,0.0
100,1.5
391,1.2
685,2.5
687,0.0
697,0.8
713,0.2
721,1.2
27,-0.5
83,0.5
101,2.3
102,-0.5
103,-0.5
104,-0.5
105,-0.5
106,0.5
107,0.3
108,0.7
109,0.3
110,0.7
111,-0.5
112,0.0
113,0.5
114,-0.5
115,0.0
116,0.3
117,0.0
118,0.0
120,2.7
121,2.0
122,-0.5
123,1.5
124,3.0
125,0.0
126,1.5
127,-0.2
128,-0.3
129,2.5
130,-0.5
131,-0.5
132,0.0
133,-0.5
134,0.0
136,3.5
137,-0.5
138,0.0
139,1.2
140,0.0
141,0.0
142,0.0
143,0.0
144,0.2
145,2.2
146,1.5
147,0.0
148,1.8
150,0.0
151,1.8
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,2.1
158,2.0
159,0.0
160,5.0
161,0.0
162,1.8
163,0.0
164,0.0
165,0.0
166,3.0
167,0.8
169,0.5
170,0.5
171,0.0
172,0.0
173,1.0
174,0.0
175,0.0
176,0.0
177,0.0
178,3.5
179,0.0
180,0.5
181,0.0
168,-0.3
220,-0.5
221,-0.3
222,0.0
223,-0.5
224,-0.3
225,1.5
226,0.0
227,0.0
228,-0.3
229,-0.7
230,0.0
231,0.0
232,0.0
233,-0.5
234,0.0
235,0.0
236,0.7
237,3.0
238,0.5
239,-0.3
240,0.0
241,4.0
243,-0.5
244,-0.3
245,0.0
246,0.0
247,0.0
248,0.0
249,2.3
250,0.0
251,0.0
252,-0.5
453,-0.3
672,0.0
253,2.5
254,0.0
255,0.0
256,2.2
257,3.0
258,4.5
259,0.0
260,5.0
261,3.5
262,0.0
263,0.0
264,0.0
265,0.0
267,2.8
268,0.0
269,0.0
270,1.1
271,2.5
272,1.0
273,2.5
274,0.0
275,0.0
276,0.8
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,2.5
284,1.2
285,0.0
286,0.0
690,0.0
712,1.8
723,0.0
732,0.2
242,0.0
287,2.2
288,0.0
289,0.0
290,0.0
291,3.0
292,0.5
293,2.2
294,0.0
295,4.5
296,0.0
297,0.0
298,0.0
299,3.2
300,0.0
301,0.2
302,3.8
303,4.0
304,0.5
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.8
311,1.2
312,0.0
313,0.0
419,1.2
630,0.0
667,0.0
704,0.0
705,0.0
707,0.5
728,0.0
314,3.0
315,0.0
316,0.2
317,5.0
318,3.5
319,1.0
320,0.5
321,0.2
322,0.0
323,0.0
324,5.0
325,1.0
326,1.0
327,0.0
328,4.8
329,3.5
330,2.5
331,1.0
332,3.0
333,0.0
334,0.0
335,1.5
336,0.0
337,1.5
338,0.0
664,0.0
727,1.2
731,0.8
737,0.0
339,-0.5
340,-0.5
341,1.5
342,1.7
343,1.7
344,-0.5
345,-0.5
346,-0.5
347,0.7
348,2.7
349,0.0
350,2.3
351,0.0
352,0.3
353,0.0
354,1.7
355,0.0
356,-0.3
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,-0.5
363,0.0
364,0.0
365,0.3
493,4.3
660,4.0
665,0.0
691,3.3
698,2.5
706,-0.3
741,-0.2
366,0.0
367,0.5
368,0.5
